Lat-Long,Count,
40.77-73.75,10,
40.70-73.82,27,
40.72-73.59,5,
40.70-73.83,27,
40.77-73.74,6,
40.70-73.80,26,
40.77-73.77,8,
40.70-73.81,56,
40.72-73.58,3,
40.70-73.86,14,
40.77-73.71,3,
40.70-73.87,10,
40.72-73.56,5,
40.77-73.70,3,
40.70-73.84,26,
40.77-73.73,6,
40.70-73.85,13,
40.77-73.72,3,
40.77-73.79,10,
40.77-73.78,3,
40.35-74.65,1,
40.66-74.37,1,
40.79-73.63,1,
40.79-73.64,4,
40.66-74.35,1,
40.79-73.61,5,
40.64-74.11,1,
40.79-73.62,1,
40.64-74.12,4,
40.66-74.36,2,
40.70-73.79,2,
40.66-74.33,1,
40.64-74.17,1,
40.79-73.67,1,
40.66-74.34,3,
40.70-73.77,15,
40.79-73.65,1,
40.66-74.31,1,
40.70-73.78,10,
40.79-73.66,1,
40.66-74.30,1,
40.35-74.66,1,
40.79-73.69,1,
40.70-73.71,1,
40.70-73.72,21,
40.70-73.75,8,
40.70-73.76,17,
40.70-73.73,5,
40.70-73.74,8,
40.79-73.70,5,
40.79-73.71,5,
40.66-74.26,1,
40.79-73.74,2,
40.64-74.02,83,
40.66-74.27,2,
40.64-74.03,50,
40.64-74.00,95,
40.79-73.72,2,
40.64-74.01,27,
40.79-73.73,25,
40.66-74.25,2,
40.79-73.78,7,
40.66-74.22,2,
40.70-73.69,1,
40.79-73.79,6,
40.66-74.23,2,
40.64-74.04,25,
40.66-74.21,4,
40.64-74.08,4,
40.64-74.09,1,
40.70-73.64,5,
41.37-72.92,1,
40.79-73.81,8,
40.79-73.82,10,
40.64-74.32,1,
40.66-74.17,14,
40.66-74.18,7,
40.79-73.80,10,
40.64-74.35,1,
40.79-73.85,5,
40.79-73.86,1,
40.64-74.36,1,
40.64-74.33,2,
40.79-73.83,4,
40.66-74.13,1,
40.79-73.84,29,
40.64-74.34,2,
40.66-74.14,1,
40.70-73.57,1,
40.66-74.11,2,
40.66-74.12,2,
40.70-73.56,1,
40.66-74.10,1,
40.64-74.38,1,
40.70-73.50,1,
40.70-73.54,1,
40.70-73.52,1,
40.79-73.92,69,
40.64-74.20,1,
40.79-73.93,59,
40.66-74.09,5,
40.64-74.21,1,
40.79-73.96,779,
40.64-74.24,1,
40.79-73.97,3914,
40.79-73.94,296,
40.79-73.95,1427,
40.64-74.23,1,
40.66-74.00,172,
40.66-74.01,98,
40.64-74.29,1,
40.79-73.98,3202,
40.64-74.26,3,
40.32-74.63,1,
40.32-74.65,1,
40.70-73.41,1,
40.74-73.87,44,
40.75-73.59,9,
40.74-73.86,29,
40.74-73.85,34,
40.74-73.84,4,
40.74-73.89,38,
40.74-73.88,59,
40.75-73.51,1,
40.75-73.50,1,
40.68-74.19,24,
40.75-73.52,1,
40.75-73.57,1,
40.75-73.56,1,
40.68-74.25,1,
40.68-74.24,4,
40.68-74.22,1,
40.68-74.28,3,
40.67-74.50,2,
40.68-74.26,1,
40.68-74.21,3,
40.74-73.83,8,
40.68-74.20,5,
40.74-73.82,34,
40.74-73.81,18,
40.74-73.80,7,
40.74-73.98,8813,
40.74-73.97,1561,
40.74-73.96,569,
40.74-73.95,363,
40.74-73.99,26698,
40.75-73.42,1,
40.75-73.41,1,
40.76-73.31,1,
40.67-74.41,1,
40.68-74.34,1,
40.68-74.39,1,
40.74-73.90,60,
40.74-73.94,120,
40.74-73.93,171,
40.68-74.31,2,
40.74-73.92,234,
40.68-74.30,2,
40.74-73.91,28,
40.69-74.11,1,
40.69-74.10,5,
40.75-73.31,1,
40.35-74.07,1,
40.75-73.32,1,
40.69-74.14,1,
40.68-74.02,247,
40.69-74.07,5,
40.68-74.01,503,
40.68-74.00,1293,
40.69-74.09,1,
40.67-74.35,2,
40.69-74.00,1491,
